ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
69,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.08617,82.78882,0.0974,0.0708,0.848,0.146,0.193,0.005,0.019,0.001,0.004,0.0,0.002,None,0.009
70,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.73617,82.63882,0.0967,0.0728,0.855,0.139,0.187,0.005,0.023,0.001,0.006,0.0,0.003,None,0.009
71,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,82.71382,0.098,0.0815,0.855,0.137,0.191,0.007,0.029,0.001,0.009,0.001,0.006,None,0.009
72,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,84.51382,0.0937,0.066,0.86,0.135,0.187,0.004,0.015,0.0,0.002,0.0,0.001,None,0.008
73,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,83.01382,0.0931,0.0701,0.862,0.132,0.191,0.005,0.018,0.001,0.003,0.0,0.001,None,0.008
74,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.56117,81.36382,0.0933,0.0712,0.861,0.134,0.186,0.005,0.021,0.001,0.005,0.0,0.003,None,0.008
75,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.23882,0.0944,0.0655,0.862,0.134,0.18,0.004,0.017,0.0,0.003,0.0,0.001,None,0.008
76,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,84.13882,0.0933,0.0726,0.865,0.129,0.182,0.005,0.023,0.001,0.006,0.0,0.003,None,0.008
77,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.21117,82.03882,0.0941,0.0664,0.863,0.132,0.183,0.004,0.017,0.0,0.002,0.0,0.001,None,0.008
78,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.01117,83.01382,0.0965,0.0803,0.857,0.136,0.19,0.006,0.027,0.001,0.008,0.0,0.006,None,0.009
79,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.63882,0.0936,0.0737,0.96,0.039,0.086,0.001,0.006,0.0,0.001,0.0,0.0,None,0.002
80,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.08617,83.98882,0.1001,0.0758,0.953,0.045,0.089,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
81,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,88.03882,0.0989,0.0812,0.954,0.045,0.096,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
82,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.96382,0.0941,0.0717,0.961,0.038,0.084,0.001,0.006,0.0,0.001,0.0,0.0,None,0.002
83,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.23617,82.78882,0.0942,0.0662,0.962,0.037,0.076,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
84,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.31382,0.0915,0.066,0.963,0.036,0.075,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
