ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
292,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.08617,83.38882,0.0993,0.0731,0.983,0.014,0.054,0.002,0.013,0.0,0.004,0.0,0.005,None,0.002
293,Timber,W_WWD_LWAL_DNO_H1,28.48617,81.43882,0.1027,0.0873,0.917,0.073,0.128,0.006,0.025,0.002,0.01,0.001,0.013,None,0.007
294,Timber,W_WWD_LWAL_DNO_H1,30.36117,81.51382,0.0972,0.0674,0.932,0.063,0.111,0.004,0.015,0.001,0.004,0.0,0.003,None,0.005
295,Timber,W_WWD_LWAL_DNO_H1,29.23617,84.06382,0.1021,0.0844,0.919,0.072,0.126,0.006,0.025,0.002,0.009,0.001,0.009,None,0.007
296,Timber,W_WWD_LWAL_DNO_H1,29.16117,82.78882,0.1017,0.0853,0.919,0.072,0.126,0.006,0.025,0.002,0.009,0.001,0.012,None,0.007
297,Timber,W_WWD_LWAL_DNO_H1,28.41117,84.21382,0.1001,0.0753,0.926,0.067,0.116,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
298,Timber,W_WWD_LWAL_DNO_H1,28.86117,80.76382,0.102,0.0771,0.92,0.072,0.122,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
299,Timber,W_WWD_LWAL_DNO_H1,28.78617,83.91382,0.0926,0.0632,0.938,0.058,0.106,0.003,0.012,0.001,0.003,0.0,0.002,None,0.004
300,Timber,W_WWD_LWAL_DNO_H1,29.16117,83.31382,0.0979,0.0739,0.928,0.066,0.117,0.005,0.018,0.001,0.006,0.001,0.009,None,0.005
301,Timber,W_WWD_LWAL_DNO_H1,29.76117,81.58882,0.1005,0.0738,0.923,0.07,0.12,0.005,0.018,0.001,0.006,0.001,0.006,None,0.006
302,Timber,W_WWD_LWAL_DNO_H1,27.73617,82.71382,0.0987,0.0744,0.925,0.069,0.123,0.005,0.019,0.001,0.005,0.001,0.004,None,0.006
303,Timber,W_WWD_LWAL_DNO_H1,28.86117,80.98882,0.0958,0.0711,0.933,0.061,0.113,0.004,0.019,0.001,0.006,0.001,0.004,None,0.005
304,Timber,W_WWD_LWAL_DNO_H1,30.21117,81.96382,0.0926,0.0661,0.937,0.059,0.108,0.004,0.014,0.001,0.004,0.0,0.003,None,0.004
305,Timber,W_WWD_LWAL_DNO_H1,28.41117,85.11382,0.0994,0.0739,0.924,0.069,0.12,0.005,0.019,0.001,0.006,0.001,0.005,None,0.006
306,Timber,W_WWD_LWAL_DNO_H1,29.83617,81.36382,0.0987,0.0773,0.926,0.066,0.117,0.005,0.021,0.001,0.008,0.001,0.009,None,0.006
307,Timber,W_WWD_LWAL_DNO_H1,28.93617,83.76382,0.0983,0.0762,0.929,0.063,0.116,0.005,0.022,0.001,0.007,0.001,0.007,None,0.006
308,Timber,W_WWD_LWAL_DNO_H1,29.53617,83.01382,0.1001,0.0753,0.926,0.067,0.116,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
309,Timber,W_WWD_LWAL_DNO_H1,29.91117,81.73882,0.1003,0.0746,0.924,0.07,0.12,0.005,0.02,0.001,0.006,0.001,0.005,None,0.006
310,Timber,W_WWD_LWAL_DNO_H1,27.66117,87.43882,0.0986,0.0763,0.922,0.071,0.13,0.005,0.018,0.001,0.005,0.001,0.003,None,0.006
311,Timber,W_WWD_LWAL_DNO_H1,27.51117,88.03882,0.0965,0.0757,0.929,0.064,0.115,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
312,Timber,W_WWD_LWAL_DNO_H1,30.13617,81.73882,0.102,0.0771,0.92,0.072,0.122,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
313,Timber,W_WWD_LWAL_DNO_H1,28.93617,83.53882,0.0976,0.0742,0.927,0.066,0.118,0.005,0.019,0.001,0.006,0.001,0.004,None,0.005
314,Timber,W_WWD_LWAL_DNO_H1,27.73617,86.53882,0.102,0.0743,0.922,0.071,0.122,0.005,0.019,0.001,0.006,0.001,0.005,None,0.006
315,Timber,W_WWD_LWAL_DNO_H1,29.98617,82.33882,0.0979,0.0739,0.928,0.066,0.117,0.005,0.018,0.001,0.006,0.001,0.009,None,0.005
316,Timber,W_WWD_LWAL_DNO_H1,29.46117,81.88882,0.0987,0.0744,0.925,0.069,0.123,0.005,0.019,0.001,0.005,0.001,0.004,None,0.006
317,Timber,W_WWD_LWAL_DNO_H1,27.96117,86.61382,0.1025,0.0789,0.917,0.075,0.129,0.006,0.021,0.001,0.006,0.001,0.005,None,0.006
318,Timber,W_WWD_LWAL_DNO_H1,27.66117,86.91382,0.0967,0.0768,0.93,0.063,0.116,0.005,0.022,0.001,0.007,0.001,0.007,None,0.006
319,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.46117,83.31382,0.0961,0.0682,0.943,0.056,0.096,0.001,0.004,0.0,0.001,0.0,0.0,None,0.003
320,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.23617,83.31382,0.1015,0.0787,0.936,0.062,0.107,0.001,0.008,0.0,0.002,0.0,0.001,None,0.004
321,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.08617,83.53882,0.0995,0.0745,0.94,0.059,0.103,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
322,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.93617,80.68882,0.0979,0.0739,0.941,0.058,0.101,0.001,0.007,0.0,0.002,0.0,0.001,None,0.003
323,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.01117,83.53882,0.1016,0.0783,0.936,0.063,0.11,0.001,0.007,0.0,0.001,0.0,0.001,None,0.004
324,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.78617,81.13882,0.0981,0.0742,0.942,0.057,0.1,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
325,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.48617,83.98882,0.1013,0.0762,0.98,0.018,0.063,0.002,0.01,0.0,0.003,0.0,0.003,None,0.002
326,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.38617,83.23882,0.0987,0.0795,0.979,0.017,0.063,0.002,0.014,0.001,0.005,0.001,0.006,None,0.002
327,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.08617,83.01382,0.1013,0.0868,0.973,0.022,0.079,0.003,0.016,0.001,0.005,0.001,0.005,None,0.003
328,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,83.31382,0.0946,0.0664,0.986,0.013,0.046,0.001,0.006,0.0,0.002,0.0,0.001,None,0.001
329,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,86.91382,0.0985,0.0703,0.983,0.015,0.054,0.001,0.008,0.0,0.002,0.0,0.002,None,0.001
330,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.16382,0.0959,0.0704,0.984,0.014,0.057,0.001,0.011,0.0,0.004,0.0,0.003,None,0.001
331,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,80.61382,0.1027,0.078,0.982,0.015,0.057,0.002,0.014,0.001,0.007,0.001,0.014,None,0.002
332,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.91382,0.0986,0.072,0.983,0.016,0.053,0.001,0.008,0.0,0.003,0.0,0.003,None,0.001
333,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.28617,82.03882,0.0967,0.076,0.983,0.014,0.058,0.002,0.016,0.001,0.006,0.001,0.008,None,0.002
334,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.38882,0.0984,0.0774,0.981,0.016,0.064,0.002,0.014,0.001,0.005,0.001,0.007,None,0.002
335,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.86117,80.68882,0.1007,0.0767,0.954,0.044,0.092,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
336,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.71117,83.46382,0.0966,0.0736,0.958,0.04,0.082,0.001,0.007,0.0,0.002,0.0,0.001,None,0.002
337,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.13882,0.099,0.0735,0.956,0.043,0.086,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
338,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.16117,83.08882,0.0958,0.0698,0.959,0.04,0.083,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
339,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.78617,84.13882,0.0996,0.0808,0.956,0.043,0.086,0.001,0.01,0.0,0.003,0.0,0.002,None,0.003
340,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.33617,85.11382,0.1003,0.0798,0.952,0.046,0.096,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
341,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,84.06382,0.0966,0.0727,0.957,0.042,0.085,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
342,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.61117,83.01382,0.1008,0.0761,0.955,0.044,0.09,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
343,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.73617,86.83882,0.099,0.0692,0.956,0.043,0.081,0.001,0.003,0.0,0.001,0.0,0.0,None,0.002
344,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.78617,84.36382,0.097,0.0685,0.959,0.04,0.078,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
345,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.56117,84.13882,0.0991,0.075,0.966,0.031,0.076,0.002,0.009,0.0,0.002,0.0,0.001,None,0.002
346,MR_H1 flat roof,MUR_LWAL_DNO_H1,29.01117,83.16382,0.0998,0.0741,0.967,0.03,0.072,0.002,0.01,0.0,0.003,0.0,0.002,None,0.002
347,MR_H1 flat roof,MUR_LWAL_DNO_H1,29.23617,83.01382,0.1024,0.0743,0.966,0.031,0.071,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
348,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.86117,82.86382,0.0994,0.0737,0.967,0.031,0.075,0.002,0.009,0.0,0.002,0.0,0.001,None,0.002
349,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.56117,85.03882,0.1012,0.0768,0.965,0.031,0.075,0.002,0.012,0.0,0.003,0.0,0.002,None,0.003
350,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.78617,83.31382,0.0941,0.0722,0.972,0.026,0.069,0.002,0.011,0.0,0.003,0.0,0.002,None,0.002
351,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.18617,81.88882,0.0993,0.0791,0.967,0.03,0.078,0.003,0.014,0.001,0.004,0.0,0.003,None,0.003
352,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.23882,0.1053,0.0861,0.923,0.068,0.111,0.006,0.023,0.001,0.007,0.001,0.006,None,0.006
353,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.16117,84.13882,0.0974,0.0702,0.935,0.06,0.097,0.004,0.014,0.001,0.004,0.0,0.002,None,0.004
354,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,84.21382,0.0971,0.0727,0.935,0.06,0.101,0.004,0.015,0.001,0.004,0.0,0.003,None,0.005
355,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.96117,86.83882,0.0971,0.0727,0.935,0.06,0.101,0.004,0.015,0.001,0.004,0.0,0.003,None,0.005
356,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.58882,0.1007,0.0779,0.929,0.065,0.104,0.005,0.018,0.001,0.005,0.001,0.005,None,0.005
357,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.93617,83.31382,0.097,0.079,0.935,0.058,0.102,0.005,0.02,0.001,0.006,0.001,0.005,None,0.005
358,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.96382,0.092,0.0638,0.944,0.052,0.091,0.003,0.011,0.001,0.002,0.0,0.001,None,0.004
359,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,82.93882,0.096,0.0717,0.937,0.058,0.098,0.004,0.015,0.001,0.004,0.0,0.004,None,0.004
360,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,80.98882,0.0944,0.0675,0.941,0.055,0.092,0.003,0.013,0.001,0.004,0.0,0.003,None,0.004
361,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.48617,84.73882,0.1027,0.0768,0.927,0.067,0.107,0.005,0.017,0.001,0.005,0.0,0.004,None,0.005
362,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.06382,0.1009,0.0742,0.929,0.066,0.106,0.005,0.015,0.001,0.004,0.0,0.003,None,0.005
363,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.23617,83.16382,0.0956,0.0721,0.936,0.059,0.099,0.004,0.015,0.001,0.004,0.0,0.003,None,0.004
364,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,84.06382,0.0984,0.0703,0.934,0.061,0.101,0.004,0.014,0.001,0.003,0.0,0.002,None,0.005
365,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.76117,82.63882,0.0968,0.0755,0.933,0.061,0.108,0.005,0.016,0.001,0.004,0.0,0.002,None,0.005
366,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,83.46382,0.0943,0.0704,0.938,0.057,0.102,0.004,0.013,0.001,0.003,0.0,0.002,None,0.004
367,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,83.98882,0.103,0.078,0.925,0.069,0.11,0.005,0.017,0.001,0.005,0.0,0.004,None,0.005
368,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.33617,85.03882,0.0973,0.0814,0.936,0.057,0.101,0.005,0.021,0.001,0.007,0.001,0.007,None,0.005
369,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.66117,87.06382,0.1016,0.079,0.929,0.064,0.108,0.005,0.019,0.001,0.005,0.001,0.004,None,0.005
370,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.88882,0.1,0.0849,0.931,0.062,0.108,0.005,0.022,0.001,0.007,0.001,0.008,None,0.006
371,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.91382,0.0998,0.0773,0.932,0.062,0.1,0.004,0.018,0.001,0.006,0.001,0.007,None,0.005
372,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.01117,83.23882,0.1019,0.0837,0.928,0.065,0.108,0.005,0.021,0.001,0.007,0.001,0.006,None,0.006
373,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.78617,83.98882,0.0969,0.0751,0.854,0.139,0.19,0.006,0.025,0.001,0.006,0.0,0.003,None,0.009
374,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.13617,82.11382,0.0966,0.0674,0.853,0.141,0.186,0.004,0.018,0.001,0.003,0.0,0.001,None,0.008
375,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.68882,0.1058,0.0786,0.827,0.165,0.21,0.007,0.025,0.001,0.005,0.0,0.002,None,0.01
376,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,83.91382,0.0984,0.0703,0.849,0.145,0.191,0.005,0.019,0.001,0.003,0.0,0.001,None,0.009
377,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.71117,83.91382,0.1005,0.0754,0.842,0.151,0.196,0.006,0.022,0.001,0.007,0.0,0.005,None,0.009
378,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,83.91382,0.0959,0.0723,0.851,0.143,0.198,0.005,0.019,0.001,0.003,0.0,0.001,None,0.009
379,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.83617,81.13882,0.1024,0.0828,0.841,0.15,0.197,0.007,0.03,0.001,0.008,0.001,0.005,None,0.01
380,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.08882,0.1016,0.0815,0.844,0.147,0.197,0.007,0.029,0.001,0.007,0.0,0.003,None,0.01
381,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,82.93882,0.0935,0.0655,0.865,0.13,0.179,0.004,0.017,0.0,0.003,0.0,0.001,None,0.008
382,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,84.06382,0.1031,0.0777,0.838,0.154,0.202,0.007,0.026,0.001,0.005,0.0,0.002,None,0.01
383,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.23882,0.0921,0.0607,0.868,0.128,0.169,0.003,0.015,0.0,0.003,0.0,0.001,None,0.007
384,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.43617,84.58882,0.096,0.0716,0.854,0.14,0.189,0.005,0.021,0.001,0.004,0.0,0.002,None,0.009
385,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.66117,87.13882,0.1036,0.0865,0.841,0.15,0.191,0.007,0.032,0.001,0.011,0.001,0.009,None,0.01
386,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.28617,81.81382,0.0981,0.0738,0.85,0.143,0.196,0.006,0.022,0.001,0.004,0.0,0.001,None,0.009
387,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.08617,82.78882,0.0961,0.072,0.854,0.14,0.191,0.005,0.021,0.001,0.004,0.0,0.002,None,0.009
388,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.73617,82.63882,0.0958,0.0725,0.856,0.137,0.188,0.005,0.022,0.001,0.004,0.0,0.002,None,0.009
389,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,82.71382,0.1003,0.075,0.842,0.152,0.198,0.006,0.023,0.001,0.005,0.0,0.002,None,0.009
390,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,84.51382,0.0981,0.0771,0.85,0.142,0.191,0.006,0.027,0.001,0.007,0.0,0.004,None,0.009
391,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,83.01382,0.099,0.0714,0.845,0.149,0.197,0.005,0.019,0.001,0.003,0.0,0.001,None,0.009
392,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.56117,81.36382,0.0973,0.0791,0.857,0.136,0.188,0.006,0.028,0.001,0.008,0.0,0.005,None,0.009
393,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.23882,0.1016,0.0793,0.843,0.149,0.196,0.007,0.028,0.001,0.006,0.0,0.003,None,0.01
394,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,84.13882,0.0941,0.0714,0.86,0.134,0.187,0.005,0.021,0.001,0.004,0.0,0.002,None,0.008
395,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.21117,82.03882,0.1033,0.0818,0.836,0.155,0.2,0.007,0.029,0.001,0.007,0.0,0.004,None,0.01
396,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.01117,83.01382,0.0962,0.0649,0.853,0.142,0.19,0.004,0.013,0.0,0.002,0.0,0.001,None,0.008
397,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.63882,0.099,0.0714,0.955,0.044,0.083,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
398,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.08617,83.98882,0.1026,0.0832,0.948,0.05,0.097,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
399,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,88.03882,0.1002,0.0804,0.953,0.045,0.093,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
400,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.96382,0.1003,0.0785,0.954,0.044,0.093,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
401,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.23617,82.78882,0.0962,0.0742,0.96,0.039,0.083,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
402,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.31382,0.1035,0.0755,0.952,0.047,0.09,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
403,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.96382,0.0998,0.0817,0.951,0.048,0.098,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
404,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.78882,0.0973,0.0791,0.957,0.042,0.091,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
405,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.46382,0.101,0.0769,0.952,0.047,0.092,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
406,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,81.51382,0.0933,0.0699,0.962,0.037,0.081,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
407,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.53617,83.16382,0.0973,0.0791,0.955,0.043,0.09,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
408,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.93617,83.61382,0.1012,0.0837,0.951,0.047,0.097,0.002,0.009,0.0,0.002,0.0,0.001,None,0.003
409,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.73617,87.13882,0.1004,0.0814,0.953,0.045,0.092,0.001,0.009,0.0,0.002,0.0,0.001,None,0.003
410,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.06117,81.43882,0.0957,0.0687,0.959,0.04,0.079,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
411,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,83.91382,0.1005,0.0832,0.952,0.046,0.098,0.002,0.009,0.0,0.002,0.0,0.001,None,0.003
412,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.51382,0.1,0.0681,0.956,0.043,0.079,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
413,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,82.18882,0.0945,0.0756,0.961,0.038,0.085,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
414,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.16117,82.56382,0.0989,0.0764,0.957,0.042,0.09,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
415,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.63617,83.68882,0.0974,0.077,0.957,0.042,0.09,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
416,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.58882,0.0976,0.0743,0.957,0.042,0.086,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
417,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,83.08882,0.1038,0.0838,0.949,0.049,0.099,0.002,0.008,0.0,0.002,0.0,0.001,None,0.003
418,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,87.51382,0.1037,0.0799,0.949,0.05,0.099,0.001,0.006,0.0,0.001,0.0,0.0,None,0.003
419,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.61117,82.93882,0.0927,0.0655,0.963,0.036,0.074,0.001,0.003,0.0,0.0,0.0,0.0,None,0.002
420,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.48617,84.28882,0.1009,0.0873,0.951,0.047,0.101,0.002,0.01,0.0,0.002,0.0,0.001,None,0.003
421,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.13882,0.0931,0.0731,0.962,0.037,0.083,0.001,0.007,0.0,0.002,0.0,0.001,None,0.002
422,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.58882,0.0908,0.0626,0.966,0.033,0.067,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
423,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.96382,0.0941,0.0702,0.961,0.038,0.081,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
424,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.66382,0.1002,0.0797,0.954,0.044,0.093,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
425,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.33617,81.58882,0.1012,0.0779,0.954,0.045,0.093,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
426,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,87.21382,0.0911,0.0647,0.987,0.012,0.045,0.001,0.004,0.0,0.001,0.0,0.001,None,0.001
427,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.56117,81.43882,0.0944,0.07,0.984,0.014,0.056,0.001,0.009,0.0,0.003,0.0,0.002,None,0.001
428,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.23617,82.86382,0.0937,0.0688,0.984,0.014,0.054,0.001,0.007,0.0,0.002,0.0,0.001,None,0.001
429,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.38882,0.0928,0.0736,0.982,0.015,0.06,0.002,0.011,0.0,0.004,0.0,0.004,None,0.002
430,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.41117,84.58882,0.0984,0.0741,0.982,0.016,0.055,0.001,0.009,0.0,0.003,0.0,0.004,None,0.002
431,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,80.38882,0.0984,0.0741,0.982,0.016,0.055,0.001,0.009,0.0,0.003,0.0,0.004,None,0.002
432,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,81.96382,0.0948,0.0671,0.986,0.013,0.048,0.001,0.006,0.0,0.001,0.0,0.001,None,0.001
433,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,85.86382,0.0995,0.0839,0.978,0.018,0.068,0.003,0.018,0.001,0.007,0.001,0.01,None,0.003
434,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.06117,81.28882,0.0989,0.072,0.983,0.015,0.054,0.001,0.01,0.0,0.003,0.0,0.004,None,0.001
435,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.61117,82.86382,0.0982,0.0758,0.982,0.016,0.057,0.002,0.013,0.0,0.005,0.0,0.005,None,0.002
436,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.98882,0.1002,0.0801,0.977,0.02,0.07,0.002,0.011,0.001,0.003,0.0,0.003,None,0.002
437,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.01382,0.1016,0.0785,0.979,0.018,0.059,0.002,0.011,0.0,0.005,0.0,0.007,None,0.002
438,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,83.46382,0.1016,0.0785,0.979,0.018,0.059,0.002,0.011,0.0,0.005,0.0,0.007,None,0.002
439,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.96117,86.76382,0.0964,0.0652,0.987,0.012,0.047,0.001,0.007,0.0,0.002,0.0,0.002,None,0.001
440,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.18617,85.71382,0.1015,0.0738,0.984,0.014,0.045,0.001,0.011,0.0,0.006,0.001,0.01,None,0.002
441,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.33617,84.66382,0.0958,0.0737,0.981,0.016,0.061,0.002,0.01,0.0,0.003,0.0,0.003,None,0.002
442,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,82.86382,0.0954,0.0634,0.988,0.011,0.037,0.001,0.003,0.0,0.001,0.0,0.0,None,0.001
443,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.16117,82.63882,0.0989,0.072,0.983,0.015,0.054,0.001,0.01,0.0,0.003,0.0,0.004,None,0.001
444,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,84.13882,0.0987,0.078,0.98,0.018,0.061,0.002,0.012,0.0,0.004,0.0,0.005,None,0.002
