#,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-11-22T04:58:56', checksum=2378174471"
event_id,gmv_PGA,gmv_SA(0.3),gmv_SA(0.6),gmv_SA(1.0),custom_site_id
0,0.101282,0.141156,0.0729145,0.0553316,wh1yvc4z
0,0.0650619,0.380486,0.090629,0.0470501,wh1yvc6c
0,0.057449,0.287406,0.359922,0.0586358,wh1yvffb
0,0.0758511,0.114686,0.352398,0.0449607,wh1zjbdg
0,0.149335,0.161094,0.213839,0.0416061,wh1zjcfz
0,0.139833,0.148253,0.160445,0.0464746,wh1zjf6f
0,0.026987,0.183518,0.0670924,0.0546638,wh1zjgfu
0,0.0435751,0.116513,0.0736894,0.0485609,wh1zjf6c
0,0.0499754,0.101838,0.106915,0.0475629,wh1ytze5
0,0.0511897,0.346499,0.109107,0.0852922,wh1ytzej
0,0.0851779,0.360999,0.100102,0.0734171,wh1yvc5p
0,0.0673856,0.280589,0.122328,0.0387056,wh1yvc7j
0,0.0285792,0.507987,0.0863765,0.0818489,wh1yvc7p
0,0.0630498,0.22772,0.148297,0.0926789,wh1yvce1
0,0.0792264,0.236371,0.0767002,0.0268327,wh1yvce5
0,0.0357636,0.235396,0.0763301,0.0559807,wh1yvceh
0,0.136304,0.149077,0.0501986,0.0351829,wh1yvcg1
0,0.0286113,0.141689,0.0576884,0.07146,wh1zjb7p
0,0.177835,0.0991867,0.181902,0.0318489,wh1zjbe0
0,0.0349417,0.188756,0.0901227,0.0634702,wh1zjbg4
0,0.137292,0.108068,0.0623477,0.0327225,wh1zjf71
0,0.166559,0.10456,0.151855,0.050471,wh1ytz7k
0,0.257768,0.17555,0.108025,0.131152,wh1ytzer
0,0.127131,0.134132,0.0298114,0.0412843,wh1yvc73
0,0.121281,0.0966045,0.0745955,0.0985278,wh1yvc7m
0,0.0951562,0.263154,0.0570296,0.183615,wh1yvce7
0,0.121115,0.293359,0.126168,0.0982343,wh1yvcek
0,0.0395101,0.086348,0.069407,0.027667,wh1yvceq
0,0.0807194,0.0369911,0.0402135,0.0853548,wh1yvcer
0,0.0770252,0.117457,0.0377142,0.0162197,wh1zjbe7
0,0.142838,0.248864,0.110621,0.0414193,wh1zjbeq
0,0.071017,0.272409,0.0294192,0.0952874,wh1zjf7k
0,0.0644577,0.0805041,0.184544,0.0666181,wh1ytzem
0,0.0950576,0.241947,0.0543602,0.0521184,wh1ytzer
0,0.0528546,0.0754305,0.117099,0.0418336,wh1ytzg6
0,0.0402158,0.130448,0.0916467,0.0842723,wh1ytzg7
0,0.0741339,0.815003,0.0912612,0.0689195,wh1yvbek
0,0.067515,0.0914766,0.0415151,0.0471838,wh1yvc73
0,0.0494382,0.0835561,0.165223,0.10371,wh1yvc7r
0,0.0624866,0.136767,0.208591,0.0317864,wh1yvce3
0,0.0623672,0.184365,0.0257913,0.0279776,wh1yvce7
0,0.0585484,0.37533,0.0572459,0.0615403,wh1yvceq
0,0.062948,0.51745,0.213743,0.152027,wh1yvz76
0,0.100781,0.0626792,0.105429,0.0323975,wh1zjb7m
0,0.0548088,0.0789149,0.0526515,0.0325264,wh1zjbem
0,0.199195,0.244892,0.0593532,0.0254568,wh1zjcek
0,0.171551,0.104743,0.124891,0.0928386,wh1zjcem
0,0.0743547,0.314628,0.14193,0.0315654,wh1yvce7
0,0.0575996,0.194024,0.113303,0.0487752,wh1zjf73
0,0.0800799,0.0736908,0.267315,0.196167,wh1yvvee
0,0.142179,0.274596,0.0988058,0.013162,wh1ytzee
0,0.0971196,0.0885207,0.0728732,0.0540488,wh1ytzet
0,0.128214,0.137436,0.0963126,0.0505579,wh1ytzg8
0,0.0806489,0.166842,0.0803745,0.0834225,wh1ytzgd
0,0.0940717,0.154408,0.0633498,0.0397453,wh1ytzge
0,0.0548554,0.20573,0.0364514,0.0432473,wh1yvbgw
0,0.11148,0.194551,0.0792079,0.0278467,wh1yvc78
0,0.046535,0.631526,0.138723,0.0728373,wh1yvc79
0,0.103859,0.870975,0.028886,0.0792934,wh1yvc7d
0,0.146287,0.157614,0.0906601,0.0257147,wh1yvc7t
0,0.039285,0.0703559,0.123901,0.0420894,wh1yvc7x
0,0.0910888,0.220945,0.117478,0.103884,wh1yvce9
0,0.0350095,0.500202,0.15656,0.0101007,wh1yvcee
0,0.109564,0.115865,0.168059,0.0360672,wh1yvces
0,0.0336677,0.144977,0.138674,0.0537249,wh1yvcex
0,0.18956,0.137168,0.0466226,0.0382626,wh1yvcgd
0,0.0398279,0.0581213,0.0956058,0.0343913,wh1yvcgw
0,0.212925,0.19837,0.114854,0.0460527,wh1yvz5w
0,0.124656,0.120482,0.0646265,0.0282111,wh1zjcgx
0,0.0885493,0.248726,0.0357836,0.0519291,wh1ytzeg
0,0.122577,0.274423,0.0632956,0.0687577,wh1ytzev
0,0.125736,0.267453,0.0931521,0.055621,wh1ytzgg
0,0.199752,0.135729,0.0873281,0.0225007,wh1yvc5f
0,0.0514994,0.116612,0.0570788,0.0906998,wh1yvc7f
0,0.0877728,0.229776,0.173554,0.0283125,wh1yvc7v
0,0.0350254,0.255188,0.235282,0.0762251,wh1yvc7z
0,0.0913817,0.151801,0.0602529,0.0399767,wh1yvcec
0,0.043416,0.323055,0.23919,0.0789752,wh1yvceg
0,0.0844309,0.0814717,0.0286713,0.0303158,wh1yvceu
0,0.0853921,0.309377,0.23448,0.0290586,wh1yvcey
0,0.0727405,0.0705774,0.267646,0.0492589,wh1yvcey
0,0.0790485,0.0833348,0.0262449,0.0165466,wh1yvfey
0,0.116818,0.160506,0.151295,0.0312748,wh1yvv7z
0,0.125422,0.0625223,0.301748,0.0700496,wh1yvvez
0,0.0745976,0.0577463,0.214789,0.0878028,wh1zjbeg
0,0.0883957,0.0267871,0.303326,0.0213034,wh1yvv7v
0,0.186309,0.140233,0.10756,0.100828,wh1ytzuj
0,0.0380461,0.242293,0.0427927,0.0817074,wh1ytzup
0,0.037741,0.052468,0.185118,0.0972356,wh1yvbh4
0,0.0342071,0.195009,0.118523,0.0677569,wh1yvbh5
0,0.0979493,0.268581,0.118679,0.0650321,wh1yvbhj
0,0.0678336,0.0866943,0.0878541,0.0514844,wh1yvbu4
0,0.120339,0.0822611,0.110933,0.0627124,wh1yvbuh
0,0.0999848,0.294425,0.0540619,0.114248,wh1yvbun
0,0.0592898,0.268141,0.14616,0.0230982,wh1yvch1
0,0.163614,0.162979,0.0420794,0.0371294,wh1yvfh1
0,0.115755,0.261403,0.141239,0.0204441,wh1zjbsj
0,0.0522318,0.0685206,0.180934,0.125945,wh1zjcun
0,0.0617932,0.13011,0.0946935,0.0452687,wh1yvvk0
